Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
31,"isinstance",1,0.00,0.00,0.00,0.00,"builtins",
30,"<frozen importlib.FileLoader.get_data",1,0.01,0.00,0.12,0.00,"(frozen importlib._bootstrap_external)",
31,"io.open_code",1,0.00,0.00,0.06,0.06,"io",
31,"_io.BufferedReader.read",1,0.00,0.00,0.05,0.05,"Unidentifiable Method",
31,"_io.BufferedReader.__exit__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"isinstance",1,0.00,0.00,0.00,0.00,"builtins",
30,"<frozen importlib.SourceFileLoader.path_stats",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib._path_stat",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
32,"nt.stat",1,0.00,0.00,0.01,0.01,"nt",
30,"<frozen importlib.cache_from_source",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib._path_join",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
32,"<frozen importlib.<listcomp>",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
33,"str.rstrip",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.endswith",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.startswith",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.rstrip",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.join",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"len",2,0.00,0.00,0.00,0.00,"builtins",
32,"list.append",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"<frozen importlib._path_split",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
32,"max",1,0.00,0.00,0.00,0.00,"builtins",
33,"<frozen importlib.<genexpr>",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
34,"str.rfind",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"str.rpartition",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"str.join",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"nt.fspath",1,0.00,0.00,0.00,0.00,"nt",
30,"<frozen importlib._classify_pyc",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib._unpack_uint32",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
32,"type.from_bytes",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"len",1,0.00,0.00,0.00,0.00,"builtins",
31,"len",1,0.00,0.00,0.00,0.00,"builtins",
30,"<frozen importlib._validate_timestamp_pyc",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib._unpack_uint32",2,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
32,"type.from_bytes",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"len",2,0.00,0.00,0.00,0.00,"builtins",
30,"<frozen importlib._check_name_wrapper",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib.get_filename",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
30,"<frozen importlib._verbose_message",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"<frozen importlib._call_with_frames_removed",1,0.01,0.00,0.16,0.00,"(frozen importlib._bootstrap)",
30,"exec",1,0.01,0.00,0.16,0.02,"builtins",
31,"html.entities (module)",1,0.01,0.01,0.13,0.10,"entities.py",
32,"chr",252,0.00,0.00,0.00,0.00,"builtins",
32,"dict.items",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
28,"<frozen importlib.module_from_spec",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
29,"<frozen importlib._init_module_attrs",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
30,"<frozen importlib.cached",2,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
31,"<frozen importlib._get_cached",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
32,"<frozen importlib.cache_from_source",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
33,"<frozen importlib._path_join",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
34,"<frozen importlib.<listcomp>",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
35,"str.rstrip",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
34,"str.endswith",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
34,"str.startswith",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
34,"list.append",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
34,"str.join",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
34,"len",2,0.00,0.00,0.00,0.00,"builtins",
34,"str.rstrip",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"<frozen importlib._path_split",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
34,"max",1,0.00,0.00,0.00,0.00,"builtins",
35,"<frozen importlib.<genexpr>",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
36,"str.rfind",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"str.join",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"str.rpartition",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"nt.fspath",1,0.00,0.00,0.00,0.00,"nt",
32,"str.endswith",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
30,"getattr",6,0.00,0.00,0.00,0.00,"builtins",
30,"<frozen importlib.parent",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
31,"str.rpartition",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
30,"<frozen importlib.has_location",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"<frozen importlib._new_module",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"hasattr",1,0.00,0.00,0.00,0.00,"builtins",
29,"<frozen importlib._LoaderBasics.create_module",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
28,"dict.pop",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
28,"hasattr",1,0.00,0.00,0.00,0.00,"builtins",
28,"<frozen importlib._verbose_message",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
27,"<frozen importlib._find_spec",1,0.01,0.00,0.13,0.00,"(frozen importlib._bootstrap)",
28,"<frozen importlib.find_spec",1,0.01,0.00,0.13,0.00,"(frozen importlib._bootstrap_external)",
29,"<frozen importlib._get_spec",1,0.01,0.00,0.13,0.00,"(frozen importlib._bootstrap_external)",
30,"<frozen importlib._path_importer_cache",1,0.00,0.00,0.07,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib._path_hooks",1,0.00,0.00,0.07,0.00,"(frozen importlib._bootstrap_external)",
32,"<frozen importlib.path_hook_for_FileFinder",1,0.00,0.00,0.06,0.00,"(frozen importlib._bootstrap_external)",
33,"<frozen importlib.FileFinder.__init__",1,0.00,0.00,0.05,0.00,"(frozen importlib._bootstrap_external)",
34,"list.extend",3,0.00,0.00,0.01,0.00,"Unidentifiable Method",
35,"<frozen importlib.<genexpr>",8,0.00,0.00,0.01,0.01,"(frozen importlib._bootstrap_external)",
34,"<frozen importlib._path_isabs",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
35,"nt._path_splitroot",1,0.00,0.00,0.00,0.00,"nt",
35,"str.startswith",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
35,"str.replace",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
35,"str.endswith",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
35,"len",1,0.00,0.00,0.00,0.00,"builtins",
33,"<frozen importlib._path_isdir",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
34,"<frozen importlib._path_is_mode_type",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
35,"<frozen importlib._path_stat",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
36,"nt.stat",1,0.00,0.00,0.01,0.01,"nt",
32,"<frozen zipimport>.zipimporter.__init__",1,0.00,0.00,0.01,0.00,"(frozen zipimport)",
33,"<frozen importlib._path_stat",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
34,"nt.stat",1,0.00,0.00,0.01,0.01,"nt",
33,"str.replace",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"isinstance",1,0.00,0.00,0.00,0.00,"builtins",
30,"<frozen importlib.FileFinder.find_spec",1,0.00,0.00,0.06,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib.FileFinder._fill_cache",1,0.00,0.00,0.03,0.00,"(frozen importlib._bootstrap_external)",
