Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,4876,"python.exe",0.00,"1,438.31","1,438.31",
"Thread",0,10768,"Unnamed thread",0.10,"1,437.97","1,437.87",
