Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__build_class__","ast._ABC",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast._Precedence",1,0.00,0.00,0.05,0.01,"ast.py",
"Callee","__build_class__","ast._Unparser",1,0.00,0.00,0.02,0.01,"ast.py",
"Callee","__build_class__","ast.AugLoad",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.AugStore",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Bytes",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Ellipsis",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.ExtSlice",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Index",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.NameConstant",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.NodeTransformer",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.NodeVisitor",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Num",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Param",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.slice",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Str",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","ast.Suite",1,0.00,0.00,0.00,0.00,"ast.py",
"Callee","__build_class__","bdb.Bdb",1,0.00,0.00,0.00,0.00,"bdb.py",
"Callee","__build_class__","bdb.BdbQuit",1,0.00,0.00,0.00,0.00,"bdb.py",
"Callee","__build_class__","bdb.Breakpoint",1,0.00,0.00,0.00,0.00,"bdb.py",
"Callee","__build_class__","bdb.Tdb",1,0.00,0.00,0.00,0.00,"bdb.py",
"Callee","__build_class__","bottle._closeiter",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle._ImportRedirect",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle._MultipartParser",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle._MultipartPart",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.AiohttpServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.AiohttpUVLoopServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.AppEngineServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.AppStack",1,0.00,0.00,0.00,0.00,"bottle.py",
