Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"ssl.<lambda>",124,0.00,0.00,0.00,0.00,"ssl.py",
"string.__init_subclass__",1,0.02,0.00,0.30,0.01,"string.py",
"enum.__or__",7,0.01,0.00,0.01,0.00,"enum.py",
"os.encodekey",60,0.00,0.00,0.00,0.00,"os.py",
"pprint (module)",1,0.00,0.00,0.03,0.01,"pprint.py",
"wsgiref.simple_server.WSGIServer.server_bind",1,0.33,0.00,4.65,0.01,"simple_server.py",
"mimetypes._default_mime_types",1,0.00,0.00,0.01,0.01,"mimetypes.py",
"configparser.RawConfigParser",1,0.03,0.00,0.47,0.01,"configparser.py",
"hmac.HMAC",1,0.00,0.00,0.01,0.01,"hmac.py",
"socketserver (module)",1,0.01,0.00,0.10,0.01,"socketserver.py",
"email.message.MIMEPart",1,0.00,0.00,0.01,0.01,"message.py",
"frozenset.__contains__",97,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"ssl.<lambda>",124,0.00,0.00,0.00,0.00,"ssl.py",
"ssl.<lambda>",124,0.00,0.00,0.00,0.00,"ssl.py",
"bottle.wrapper",6,0.01,0.00,0.02,0.00,"bottle.py",
"glob (module)",1,0.01,0.00,0.13,0.01,"glob.py",
"ssl.<lambda>",124,0.00,0.00,0.00,0.00,"ssl.py",
"html (module)",1,0.08,0.00,1.16,0.01,"__init__.py",
"bz2 (module)",1,0.12,0.00,1.65,0.01,"bz2.py",
"contextlib (module)",1,0.01,0.00,0.13,0.01,"contextlib.py",
"abs",96,0.00,0.00,0.00,0.00,"builtins",
"wsgiref.headers.Headers",1,0.00,0.00,0.01,0.01,"headers.py",
"posixpath (module)",1,0.00,0.00,0.01,0.01,"posixpath.py",
"http.HTTPStatus",1,0.01,0.00,0.13,0.01,"__init__.py",
"round",12,0.00,0.00,0.00,0.00,"builtins",
"any",25,0.00,0.00,0.00,0.00,"builtins",
"importlib (module)",1,0.00,0.00,0.01,0.01,"__init__.py",
"os.__iter__",58,0.00,0.00,0.00,0.00,"os.py",
"threading.Event.set",2,0.00,0.00,0.01,0.00,"threading.py",
"signal.decorator",3,0.00,0.00,0.00,0.00,"signal.py",
"bottle.BaseResponse",1,0.00,0.00,0.01,0.01,"bottle.py",
"bottle.ConfigDict.__init__",8,0.00,0.00,0.00,0.00,"bottle.py",
"encodings.search_function",1,0.08,0.00,1.07,0.01,"__init__.py",
"enum.<lambda>",105,0.00,0.00,0.00,0.00,"enum.py",
"ssl.SSLSocket",1,0.00,0.00,0.01,0.01,"ssl.py",
"ssl.<lambda>",124,0.00,0.00,0.00,0.00,"ssl.py",
"ssl.<lambda>",124,0.00,0.00,0.00,0.00,"ssl.py",
"subprocess.Popen",1,0.00,0.00,0.01,0.01,"subprocess.py",
"re.Pattern.finditer",6,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"str.lower",126,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_thread._set_sentinel",1,0.00,0.00,0.01,0.01,"_thread",
"math.log",2,0.00,0.00,0.00,0.00,"math",
"bottle.make_default_app_wrapper",12,0.00,0.00,0.00,0.00,"bottle.py",
"http.server.<dictcomp>",1,0.00,0.00,0.01,0.01,"server.py",
"mappingproxy.items",107,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_hashlib.openssl_sha1",1,0.00,0.00,0.01,0.01,"_hashlib",
"collections.abc (module)",1,0.00,0.00,0.01,0.01,"abc.py",
"random.Random",1,0.00,0.00,0.01,0.01,"random.py",
"bottle.makelist",24,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.Router.build",5,0.00,0.00,0.00,0.00,"bottle.py",
"email.parser (module)",1,0.10,0.00,1.42,0.01,"parser.py",
"bottle.default",7,0.01,0.00,0.01,0.00,"bottle.py",
"re.Pattern.sub",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"math.exp",1,0.00,0.00,0.01,0.01,"math",
"divmod",60,0.00,0.00,0.00,0.00,"builtins",
"code (module)",1,0.03,0.00,0.43,0.01,"code.py",
"email.message.Message",1,0.02,0.00,0.23,0.01,"message.py",
"json.decoder.JSONDecoder.__init__",1,0.00,0.00,0.01,0.01,"decoder.py",
"sre_parse.Tokenizer.getwhile",10,0.00,0.00,0.00,0.00,"sre_parse.py",
"bdb (module)",1,0.00,0.00,0.03,0.01,"bdb.py",
"ast._Precedence",1,0.00,0.00,0.05,0.01,"ast.py",
"bottle.HeaderDict",1,0.00,0.00,0.01,0.01,"bottle.py",
"bottle.Route.__init__",6,0.00,0.00,0.01,0.00,"bottle.py",
"<frozen importlib.ExtensionFileLoader.exec_module",7,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"bottle.Bottle",1,0.00,0.00,0.01,0.01,"bottle.py",
"<frozen importlib.get_filename",89,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"property.setter",18,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"enum.__members__",16,0.00,0.00,0.00,0.00,"enum.py",
"http.server.BaseHTTPRequestHandler",1,0.00,0.00,0.01,0.00,"server.py",
"str.rsplit",6,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"datetime.timezone",1,0.00,0.00,0.01,0.00,"datetime.py",
"http.server.SimpleHTTPRequestHandler",1,0.00,0.00,0.00,0.00,"server.py",
"selectors.register",1,15.16,0.00,215.33,0.00,"selectors.py",
"string (module)",1,0.03,0.00,0.37,0.00,"string.py",
"bottle.Bottle.add_route",6,0.02,0.00,0.05,0.00,"bottle.py",
"datetime.date",1,0.00,0.00,0.00,0.00,"datetime.py",
"traceback (module)",1,0.02,0.00,0.31,0.00,"traceback.py",
"dict.setdefault",20,0.00,0.00,0.00,0.00,"Unknown",
"codeop (module)",1,0.00,0.00,0.02,0.00,"codeop.py",
"enum.<genexpr>",40,0.00,0.00,0.00,0.00,"enum.py",
"selectors.close",1,0.00,0.00,0.01,0.00,"selectors.py",
"wsgiref.simple_server.make_server",1,0.36,0.00,5.15,0.00,"simple_server.py",
"ssl.__new__",4,0.00,0.00,0.01,0.00,"ssl.py",
"<frozen importlib.exec_module",16,0.01,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
"str.upper",66,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"threading.Thread._set_tstate_lock",1,0.00,0.00,0.01,0.00,"threading.py",
"bottle.HeaderProperty.__init__",5,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.fset",6,0.00,0.00,0.00,0.00,"bottle.py",
"wsgiref.handlers.BaseHandler",1,0.01,0.00,0.08,0.00,"handlers.py",
"sorted",1,0.00,0.00,0.00,0.00,"builtins",
"bdb.Bdb",1,0.00,0.00,0.00,0.00,"bdb.py",
"ssl.SSLContext",1,0.00,0.00,0.01,0.00,"ssl.py",
"socketserver.TCPServer.server_close",1,0.00,0.00,0.04,0.00,"socketserver.py",
"sre_compile._bytes_to_codes",2,0.00,0.00,0.00,0.00,"sre_compile.py",
"vars",18,0.00,0.00,0.00,0.00,"builtins",
"list.insert",11,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"selectors.__exit__",1,0.00,0.00,0.01,0.00,"selectors.py",
"bottle.Bottle.trigger_hook",7,0.00,0.00,0.00,0.00,"bottle.py",
"email.encoders (module)",1,0.02,0.00,0.29,0.00,"encoders.py",
"ntpath.splitdrive",4,0.00,0.00,0.00,0.00,"ntpath.py",
"bisect (module)",1,0.00,0.00,0.05,0.00,"bisect.py",
"wsgiref.simple_server.WSGIServer.setup_environ",1,0.00,0.00,0.00,0.00,"simple_server.py",
"bottle.ConfigDict._on_change",5,0.00,0.00,0.00,0.00,"bottle.py",
"http.client.HTTPConnection",1,0.00,0.00,0.00,0.00,"client.py",
"contextlib.contextmanager",2,0.00,0.00,0.00,0.00,"contextlib.py",
"uu (module)",1,0.00,0.00,0.02,0.00,"uu.py",
"encodings.normalize_encoding",1,0.00,0.00,0.01,0.00,"__init__.py",
"http (module)",1,0.03,0.00,0.45,0.00,"__init__.py",
"socket.socket",1,0.00,0.00,0.00,0.00,"socket.py",
"bottle.MakoTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"dict.pop",40,0.00,0.00,0.00,0.00,"Unknown",
"set.pop",52,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"signal.<lambda>",30,0.00,0.00,0.00,0.00,"signal.py",
"str.encode",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"ssl.SSLObject",1,0.00,0.00,0.00,0.00,"ssl.py",
"os.check_str",60,0.00,0.00,0.00,0.00,"os.py",
"_hashlib.openssl_sha3_224",1,0.00,0.00,0.00,0.00,"_hashlib",
"bottle._stderr",3,0.01,0.00,0.05,0.00,"bottle.py",
"linecache (module)",1,0.00,0.00,0.00,0.00,"linecache.py",
"email.errors (module)",1,0.01,0.00,0.13,0.00,"errors.py",
"enum._generate_next_value_",17,0.00,0.00,0.00,0.00,"enum.py",
"bottle.route",6,0.00,0.00,0.00,0.00,"bottle.py",
"http.cookies.Morsel",1,0.00,0.00,0.00,0.00,"cookies.py",
"str.strip",35,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._LoaderBasics.create_module",89,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"http.client.<dictcomp>",1,0.00,0.00,0.00,0.00,"client.py",
"_compat_pickle.<genexpr>",86,0.00,0.00,0.00,0.00,"_compat_pickle.py",
"datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"http.client.HTTPResponse",1,0.00,0.00,0.00,0.00,"client.py",
"repr",2,0.00,0.00,0.00,0.00,"builtins",
"datetime.timedelta",1,0.00,0.00,0.00,0.00,"datetime.py",
"datetime._check_date_fields",5,0.00,0.00,0.00,0.00,"datetime.py",
"<frozen importlib.ExtensionFileLoader.__init__",7,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"platform.uname_result",1,0.00,0.00,0.01,0.00,"platform.py",
"EnumMeta.mro",20,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"bottle.ConfigDict.update",1,0.00,0.00,0.02,0.00,"bottle.py",
"bottle.Bottle.install",2,0.00,0.00,0.01,0.00,"bottle.py",
"abc.register",2,0.00,0.00,0.03,0.00,"abc.py",
"calendar.<listcomp>",1,0.00,0.00,0.00,0.00,"calendar.py",
"bottle.decorator",3,0.00,0.00,0.00,0.00,"bottle.py",
"email.charset.Charset.__init__",2,0.00,0.00,0.00,0.00,"charset.py",
"bottle.DictProperty.__call__",13,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.StplParser",1,0.00,0.00,0.00,0.00,"bottle.py",
"email._parseaddr (module)",1,0.00,0.00,0.02,0.00,"_parseaddr.py",
"memoryview.cast",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"email.base64mime (module)",1,0.00,0.00,0.00,0.00,"base64mime.py",
"datetime.time",1,0.00,0.00,0.00,0.00,"datetime.py",
"enum.value",53,0.00,0.00,0.00,0.00,"enum.py",
"cmd.Cmd",1,0.00,0.00,0.00,0.00,"cmd.py",
"datetime.__new__",2,0.00,0.00,0.00,0.00,"datetime.py",
"selectors.__init__",1,0.00,0.00,0.01,0.00,"selectors.py",
"socket.socket.close",1,0.00,0.00,0.03,0.00,"socket.py",
"bottle.Bottle.__setattr__",8,0.00,0.00,0.00,0.00,"bottle.py",
"tempfile.SpooledTemporaryFile",1,0.00,0.00,0.00,0.00,"tempfile.py",
"contextlib.suppress",1,0.00,0.00,0.00,0.00,"contextlib.py",
"os._get_exports_list",1,0.00,0.00,0.02,0.00,"os.py",
"_weakrefset (module)",1,0.00,0.00,0.02,0.00,"_weakrefset.py",
"threading.Condition.notify",2,0.00,0.00,0.00,0.00,"threading.py",
"bottle.Router._compile",1,0.00,0.00,0.05,0.00,"bottle.py",
"bottle.Route",1,0.00,0.00,0.01,0.00,"bottle.py",
"inspect._ParameterKind",1,0.00,0.00,0.02,0.00,"inspect.py",
"quopri (module)",1,0.00,0.00,0.00,0.00,"quopri.py",
"sys._getframe",17,0.00,0.00,0.00,0.00,"sys",
"bottle.ServerAdapter.__repr__",1,0.00,0.00,0.00,0.00,"bottle.py",
"cmd (module)",1,0.00,0.00,0.01,0.00,"cmd.py",
"weakref.WeakValueDictionary",1,0.00,0.00,0.00,0.00,"weakref.py",
"functools.cached_property.__init__",1,0.00,0.00,0.00,0.00,"functools.py",
"ntpath.normpath",1,0.00,0.00,0.01,0.00,"ntpath.py",
"ssl.TLSVersion",1,0.00,0.00,0.01,0.00,"ssl.py",
"ssl._TLSAlertType",1,0.00,0.00,0.05,0.00,"ssl.py",
"calendar._localized_day",1,0.00,0.00,0.00,0.00,"calendar.py",
"tempfile.TemporaryDirectory",1,0.00,0.00,0.00,0.00,"tempfile.py",
"bz2.BZ2File",1,0.00,0.00,0.00,0.00,"bz2.py",
"set.union",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"threading.Event.clear",1,0.00,0.00,0.00,0.00,"threading.py",
"bottle.ConfigDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"bytes.split",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"email.iterators (module)",1,0.00,0.00,0.00,0.00,"iterators.py",
"lzma.LZMAFile",1,0.00,0.00,0.00,0.00,"lzma.py",
"datetime.__new__",3,0.00,0.00,0.00,0.00,"datetime.py",
"inspect.Signature",1,0.00,0.00,0.00,0.00,"inspect.py",
"socketserver.TCPServer.server_activate",1,0.00,0.00,0.03,0.00,"socketserver.py",
"wsgiref.util (module)",1,0.00,0.00,0.01,0.00,"util.py",
"ntpath.split",1,0.00,0.00,0.01,0.00,"ntpath.py",
"random.Random.seed",1,0.00,0.00,0.01,0.00,"random.py",
"bottle.update_wrapper",5,0.00,0.00,0.00,0.00,"bottle.py",
"calendar._localized_month",1,0.00,0.00,0.01,0.00,"calendar.py",
"encodings.idna.Codec.encode",1,0.00,0.00,0.01,0.00,"idna.py",
"_compression (module)",1,0.00,0.00,0.04,0.00,"_compression.py",
"bottle.BaseRequest.__init__",1,0.00,0.00,0.01,0.00,"bottle.py",
"email._policybase.<genexpr>",10,0.00,0.00,0.00,0.00,"_policybase.py",
"platform._sys_version",1,0.00,0.00,0.01,0.00,"platform.py",
"_weakrefset.WeakSet",1,0.00,0.00,0.00,0.00,"_weakrefset.py",
"datetime._check_int_field",35,0.00,0.00,0.00,0.00,"datetime.py",
"enum._missing_",4,0.00,0.00,0.02,0.00,"enum.py",
"selectors.__init__",1,0.00,0.00,0.00,0.00,"selectors.py",
"inspect.Parameter",1,0.00,0.00,0.00,0.00,"inspect.py",
"wsgiref.headers (module)",1,0.01,0.00,0.10,0.00,"headers.py",
"calendar.Calendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"bottle._global_config",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.ConfigDict._iter_overlays",35,0.00,0.00,0.00,0.00,"bottle.py",
"datetime._check_time_fields",5,0.00,0.00,0.00,0.00,"datetime.py",
"re.escape",8,0.00,0.00,0.00,0.00,"re.py",
"threading.Event.__init__",2,0.00,0.00,0.01,0.00,"threading.py",
"urllib.parse._NetlocResultMixinBase",1,0.00,0.00,0.00,0.00,"parse.py",
"bottle.AppStack.__call__",7,0.01,0.00,0.01,0.00,"bottle.py",
"<frozen importlib._path_isdir",8,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"bottle._hooks",1,0.00,0.00,0.00,0.00,"bottle.py",
"http.client.HTTPSConnection",1,0.00,0.00,0.00,0.00,"client.py",
"enum.__iter__",4,0.00,0.00,0.00,0.00,"enum.py",
"re.Match.groups",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_compat_pickle.<genexpr>",43,0.00,0.00,0.00,0.00,"_compat_pickle.py",
"threading.Condition.__exit__",3,0.00,0.00,0.00,0.00,"threading.py",
"_collections_abc.items",1,0.00,0.00,0.00,0.00,"_collections_abc.py",
"hashlib.__get_builtin_constructor",2,0.00,0.00,0.02,0.00,"hashlib.py",
"socketserver.BaseServer",1,0.00,0.00,0.00,0.00,"socketserver.py",
"<frozen importlib.is_package",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"datetime._days_before_year",3,0.00,0.00,0.00,0.00,"datetime.py",
"ssl._sslcopydoc",15,0.00,0.00,0.00,0.00,"ssl.py",
"threading.Condition.notify_all",2,0.00,0.00,0.00,0.00,"threading.py",
"wsgiref.simple_server.WSGIRequestHandler",1,0.00,0.00,0.00,0.00,"simple_server.py",
"json.encoder.JSONEncoder.__init__",1,0.00,0.00,0.00,0.00,"encoder.py",
"memoryview.tolist",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"selectors.BaseSelector",1,0.00,0.00,0.00,0.00,"selectors.py",
"_abc._abc_register",2,0.00,0.00,0.02,0.00,"_abc",
"_hashlib.openssl_sha256",1,0.00,0.00,0.00,0.00,"_hashlib",
"_thread.lock.__enter__",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"calendar.<listcomp>",1,0.00,0.00,0.00,0.00,"calendar.py",
"dict.get",20,0.00,0.00,0.00,0.00,"Unknown",
"random.__init_subclass__",1,0.00,0.00,0.00,0.00,"random.py",
"re.Match.start",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"ssl._TLSMessageType",1,0.00,0.00,0.03,0.00,"ssl.py",
"threading.Condition.__enter__",3,0.00,0.00,0.00,0.00,"threading.py",
"bottle.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.BaseRequest.__setattr__",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.fget",1,0.00,0.00,0.00,0.00,"bottle.py",
"_collections_abc.__contains__",1,0.00,0.00,0.00,0.00,"_collections_abc.py",
"platform.python_implementation",1,0.00,0.00,0.01,0.00,"platform.py",
"set.discard",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"socketserver.BaseServer.__init__",1,0.00,0.00,0.01,0.00,"socketserver.py",
"email._policybase.Policy",1,0.00,0.00,0.00,0.00,"_policybase.py",
"functools.decorating_function",1,0.00,0.00,0.01,0.00,"functools.py",
"random.SystemRandom",1,0.00,0.00,0.00,0.00,"random.py",
"bottle.AppStack.push",1,0.00,0.00,0.07,0.00,"bottle.py",
"bottle.cached_property.__get__",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.ConfigDict._define",4,0.00,0.00,0.00,0.00,"bottle.py",
"dict.clear",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"math.sqrt",1,0.00,0.00,0.00,0.00,"math",
"bottle._set_status",1,0.00,0.00,0.00,0.00,"bottle.py",
"socket.socket._real_close",1,0.00,0.00,0.03,0.00,"socket.py",
"bottle.<listcomp>",7,0.00,0.00,0.00,0.00,"bottle.py",
"platform._Processor",1,0.00,0.00,0.00,0.00,"platform.py",
"globals",19,0.00,0.00,0.00,0.00,"builtins",
"str.title",5,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"__future__._Feature.__init__",10,0.00,0.00,0.00,0.00,"__future__.py",
"bottle.cached_property.__init__",5,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.Router",1,0.02,0.00,0.31,0.00,"bottle.py",
"selectors.SelectSelector",1,0.00,0.00,0.00,0.00,"selectors.py",
"bottle.JSONPlugin.setup",1,0.00,0.00,0.01,0.00,"bottle.py",
"warnings.catch_warnings",1,0.00,0.00,0.00,0.00,"warnings.py",
"_hashlib.openssl_sha3_256",1,0.00,0.00,0.00,0.00,"_hashlib",
"bottle.ConfigDict.load_dict",6,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.DictProperty.__init__",14,0.00,0.00,0.00,0.00,"bottle.py",
"inspect.BoundArguments",1,0.00,0.00,0.00,0.00,"inspect.py",
"bottle.BaseResponse.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"_hashlib.openssl_sha224",1,0.00,0.00,0.00,0.00,"_hashlib",
"bottle.ConfigDict.meta_set",8,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.FileUpload",1,0.00,0.00,0.01,0.00,"bottle.py",
"ntpath.join",1,0.00,0.00,0.00,0.00,"ntpath.py",
"set.__contains__",57,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_parse._parse_flags",2,0.00,0.00,0.00,0.00,"sre_parse.py",
"bottle._ImportRedirect.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.ConverterMapping",1,0.00,0.00,0.04,0.00,"configparser.py",
"opcode.name_op",12,0.00,0.00,0.00,0.00,"opcode.py",
"_hashlib.openssl_sha3_384",1,0.00,0.00,0.00,0.00,"_hashlib",
"subprocess.CalledProcessError",1,0.00,0.00,0.00,0.00,"subprocess.py",
"bottle.MultiDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.Calendar.__init__",1,0.00,0.00,0.00,0.00,"calendar.py",
"codecs.__new__",1,0.00,0.00,0.00,0.00,"codecs.py",
"_hashlib.openssl_shake_256",1,0.00,0.00,0.00,0.00,"_hashlib",
"ntpath.abspath",1,0.00,0.00,0.01,0.00,"ntpath.py",
"threading._maintain_shutdown_locks",1,0.00,0.00,0.00,0.00,"threading.py",
"threading.Condition",1,0.00,0.00,0.00,0.00,"threading.py",
"_hashlib.openssl_sha3_512",1,0.00,0.00,0.00,0.00,"_hashlib",
"_weakrefset.WeakSet.__init__",1,0.00,0.00,0.00,0.00,"_weakrefset.py",
"configparser.SectionProxy",1,0.00,0.00,0.00,0.00,"configparser.py",
"datetime._days_in_month",5,0.00,0.00,0.00,0.00,"datetime.py",
"socket.SocketIO",1,0.00,0.00,0.00,0.00,"socket.py",
"threading.RLock",1,0.00,0.00,0.00,0.00,"threading.py",
"signal.<lambda>",31,0.00,0.00,0.00,0.00,"signal.py",
"socketserver.BaseServer.service_actions",3,0.00,0.00,0.00,0.00,"socketserver.py",
"weakref.WeakKeyDictionary",1,0.00,0.00,0.00,0.00,"weakref.py",
"<string>.<lambda>",1,0.00,0.00,0.00,0.00,"(string)",
"abc.abstractmethod",11,0.00,0.00,0.00,0.00,"abc.py",
"contextlib.AbstractContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"bottle.TemplatePlugin",1,0.00,0.00,0.00,0.00,"bottle.py",
"_thread.get_native_id",1,0.00,0.00,0.00,0.00,"_thread",
"bottle._re_flatten",1,0.01,0.00,0.08,0.00,"bottle.py",
"random.Random.__init__",1,0.00,0.00,0.02,0.00,"random.py",
"_hashlib.openssl_shake_128",1,0.00,0.00,0.00,0.00,"_hashlib",
"bottle.AppStack",1,0.00,0.00,0.00,0.00,"bottle.py",
"codeop.<listcomp>",1,0.00,0.00,0.00,0.00,"codeop.py",
"email.charset.Charset",1,0.00,0.00,0.00,0.00,"charset.py",
"weakref.WeakMethod",1,0.00,0.00,0.00,0.00,"weakref.py",
"bottle.LocalRequest",1,0.00,0.00,0.01,0.00,"bottle.py",
"configparser.ParsingError",1,0.00,0.00,0.00,0.00,"configparser.py",
"http.server.CGIHTTPRequestHandler",1,0.00,0.00,0.00,0.00,"server.py",
"nt._getfullpathname",1,0.00,0.00,0.00,0.00,"nt",
"socketserver.TCPServer",1,0.00,0.00,0.00,0.00,"socketserver.py",
"traceback.FrameSummary",1,0.00,0.00,0.00,0.00,"traceback.py",
"mappingproxy.values",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"tempfile._TemporaryFileWrapper",1,0.00,0.00,0.00,0.00,"tempfile.py",
"bottle._MultipartPart",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.Bottle.post",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.SimpleTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"datetime.date.toordinal",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"threading.Barrier",1,0.00,0.00,0.00,0.00,"threading.py",
"traceback.TracebackException",1,0.00,0.00,0.00,0.00,"traceback.py",
"email._encoded_words._QByteMap",1,0.00,0.00,0.00,0.00,"_encoded_words.py",
"email._parseaddr.AddressList",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"email.feedparser.BufferedSubFile",1,0.00,0.00,0.00,0.00,"feedparser.py",
"urllib.parse._fix_result_transcoding",1,0.00,0.00,0.00,0.00,"parse.py",
"configparser.LegacyInterpolation",1,0.00,0.00,0.04,0.00,"configparser.py",
"contextlib._BaseExitStack",1,0.00,0.00,0.00,0.00,"contextlib.py",
"str.isalnum",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"bottle.BaseTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"_thread.lock.acquire",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"bottle.<genexpr>",2,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.IllegalMonthError",1,0.00,0.00,0.00,0.00,"calendar.py",
"email.feedparser.FeedParser",1,0.00,0.00,0.00,0.00,"feedparser.py",
"_compression.DecompressReader",1,0.00,0.00,0.00,0.00,"_compression.py",
"bottle.ConfigDict.setdefault",4,0.00,0.00,0.00,0.00,"bottle.py",
"http.cookies.BaseCookie",1,0.00,0.00,0.00,0.00,"cookies.py",
"socketserver._SocketWriter",1,0.00,0.00,0.00,0.00,"socketserver.py",
"bottle.AiohttpServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"datetime.IsoCalendarDate",1,0.00,0.00,0.00,0.00,"datetime.py",
"ast.__init__",5,0.00,0.00,0.00,0.00,"ast.py",
"calendar.LocaleTextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"ssl._ASN1Object",1,0.00,0.00,0.00,0.00,"ssl.py",
"ssl._TLSContentType",1,0.00,0.00,0.01,0.00,"ssl.py",
"threading.Timer",1,0.00,0.00,0.00,0.00,"threading.py",
"selectors._fileobj_lookup",1,15.16,0.00,215.31,0.00,"selectors.py",
"bottle.<lambda>",9,0.00,0.00,0.00,0.00,"bottle.py",
"email.header._Accumulator",1,0.00,0.00,0.00,0.00,"header.py",
"re.sub",1,0.01,0.00,0.08,0.00,"re.py",
"string.Template",1,0.00,0.00,0.00,0.00,"string.py",
"bottle.ConfigDict.meta_get",5,0.00,0.00,0.00,0.00,"bottle.py",
"datetime.timedelta.__neg__",2,0.00,0.00,0.00,0.00,"datetime.py",
"bottle.<lambda>",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.LocalResponse",1,0.00,0.00,0.00,0.00,"bottle.py",
"dict.copy",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sys.getfilesystemencoding",1,0.00,0.00,0.00,0.00,"sys",
"_collections_abc.__subclasshook__",7,0.00,0.00,0.00,0.00,"_collections_abc.py",
"dis.Bytecode",1,0.00,0.00,0.00,0.00,"dis.py",
"subprocess.CompletedProcess",1,0.00,0.00,0.00,0.00,"subprocess.py",
"__future__._Feature",1,0.00,0.00,0.00,0.00,"__future__.py",
"email.header._ValueFormatter",1,0.00,0.00,0.00,0.00,"header.py",
"string.Formatter",1,0.00,0.00,0.00,0.00,"string.py",
"<frozen importlib._lock_unlock_module",2,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"bdb.Breakpoint",1,0.00,0.00,0.00,0.00,"bdb.py",
"bottle._ImportRedirect.find_spec",3,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.MeinheldServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.WSGIHeaderDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.HTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"configparser.BasicInterpolation",1,0.00,0.00,0.07,0.00,"configparser.py",
"email._parseaddr.AddrlistClass",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"ntpath.dirname",1,0.00,0.00,0.01,0.00,"ntpath.py",
