Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"<frozen importlib._path_importer_cache",408,0.03,0.01,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.cb",123,0.01,0.01,0.00,0.00,"(frozen importlib._bootstrap)",
"chr",448,0.01,0.01,0.00,0.00,"builtins",
"bottle (module)",1,12.82,0.01,182.02,0.08,"bottle.py",
"type.fromkeys",93,0.01,0.01,0.00,0.00,"Unidentifiable Method",
"dict.get",701,0.01,0.01,0.00,0.00,"Unidentifiable Method",
"sre_compile._compile_info",54,0.04,0.01,0.01,0.00,"sre_compile.py",
"enum._is_private",321,0.01,0.01,0.00,0.00,"enum.py",
"<frozen importlib.FileFinder._get_spec",96,0.02,0.01,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.module_from_spec",112,0.59,0.01,0.08,0.00,"(frozen importlib._bootstrap)",
"sre_parse.parse",54,0.23,0.01,0.06,0.00,"sre_parse.py",
"inspect (module)",1,0.26,0.00,3.73,0.07,"inspect.py",
"_imp._fix_co_filename",89,0.00,0.00,0.00,0.00,"_imp",
"socket (module)",1,0.29,0.00,4.07,0.07,"socket.py",
"sre_parse.Tokenizer.match","1,044",0.01,0.00,0.00,0.00,"sre_parse.py",
"min",734,0.00,0.00,0.00,0.00,"builtins",
"sre_compile.<listcomp>",35,0.00,0.00,0.00,0.00,"sre_compile.py",
"sre_parse.SubPattern.__init__",345,0.00,0.00,0.00,0.00,"sre_parse.py",
"str.rfind",356,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"bytearray.find",456,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_compile._mk_bitmap",35,0.01,0.00,0.00,0.00,"sre_compile.py",
"<frozen importlib._path_is_mode_type",118,0.10,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"setattr",501,0.01,0.00,0.00,0.00,"builtins",
"_imp.is_builtin",90,0.00,0.00,0.00,0.00,"_imp",
"<frozen importlib._call_with_frames_removed",147,13.68,0.00,17.66,0.00,"(frozen importlib._bootstrap)",
